feature_name,feature_type
global_ai_market_value_in_billions_ma_5,engineered
global_ai_market_value_in_billions_std_5,engineered
global_ai_market_value_in_billions_above_ma_5,engineered
global_ai_market_value_in_billions_trend_slope,engineered
global_ai_market_value_in_billions_trend_r_squared,engineered
global_ai_market_value_in_billions_detrended,engineered
organizations_using_ai_ma_2,engineered
organizations_using_ai_std_2,engineered
organizations_using_ai_above_ma_2,engineered
organizations_using_ai_ma_3,engineered
organizations_using_ai_std_3,engineered
organizations_using_ai_above_ma_3,engineered
organizations_using_ai_ma_5,engineered
organizations_using_ai_std_5,engineered
organizations_using_ai_above_ma_5,engineered
organizations_using_ai_trend_slope,engineered
organizations_using_ai_trend_r_squared,engineered
organizations_using_ai_detrended,engineered
estimated_revenue_increase_from_ai_trillions_usd_ma_2,engineered
estimated_revenue_increase_from_ai_trillions_usd_std_2,engineered
estimated_revenue_increase_from_ai_trillions_usd_above_ma_2,engineered
estimated_revenue_increase_from_ai_trillions_usd_ma_3,engineered
estimated_revenue_increase_from_ai_trillions_usd_std_3,engineered
estimated_revenue_increase_from_ai_trillions_usd_above_ma_3,engineered
estimated_revenue_increase_from_ai_trillions_usd_ma_5,engineered
estimated_revenue_increase_from_ai_trillions_usd_std_5,engineered
estimated_revenue_increase_from_ai_trillions_usd_above_ma_5,engineered
estimated_revenue_increase_from_ai_trillions_usd_trend_slope,engineered
estimated_revenue_increase_from_ai_trillions_usd_trend_r_squared,engineered
estimated_revenue_increase_from_ai_trillions_usd_detrended,engineered
ai_software_revenue_in_billions_lag_1,engineered
ai_software_revenue_in_billions_diff_lag_1,engineered
ai_software_revenue_in_billions_ratio_lag_1,engineered
ai_software_revenue_in_billions_lag_2,engineered
ai_software_revenue_in_billions_diff_lag_2,engineered
ai_software_revenue_in_billions_ratio_lag_2,engineered
ai_software_revenue_in_billions_lag_3,engineered
ai_software_revenue_in_billions_diff_lag_3,engineered
ai_software_revenue_in_billions_ratio_lag_3,engineered
global_ai_market_value_in_billions_lag_1,engineered
global_ai_market_value_in_billions_diff_lag_1,engineered
global_ai_market_value_in_billions_ratio_lag_1,engineered
global_ai_market_value_in_billions_lag_2,engineered
global_ai_market_value_in_billions_diff_lag_2,engineered
global_ai_market_value_in_billions_ratio_lag_2,engineered
global_ai_market_value_in_billions_lag_3,engineered
global_ai_market_value_in_billions_diff_lag_3,engineered
global_ai_market_value_in_billions_ratio_lag_3,engineered
organizations_using_ai_lag_1,engineered
organizations_using_ai_diff_lag_1,engineered
organizations_using_ai_ratio_lag_1,engineered
organizations_using_ai_lag_2,engineered
organizations_using_ai_diff_lag_2,engineered
organizations_using_ai_ratio_lag_2,engineered
organizations_using_ai_lag_3,engineered
organizations_using_ai_diff_lag_3,engineered
organizations_using_ai_ratio_lag_3,engineered
estimated_revenue_increase_from_ai_trillions_usd_lag_1,engineered
estimated_revenue_increase_from_ai_trillions_usd_diff_lag_1,engineered
estimated_revenue_increase_from_ai_trillions_usd_ratio_lag_1,engineered
estimated_revenue_increase_from_ai_trillions_usd_lag_2,engineered
estimated_revenue_increase_from_ai_trillions_usd_diff_lag_2,engineered
estimated_revenue_increase_from_ai_trillions_usd_ratio_lag_2,engineered
estimated_revenue_increase_from_ai_trillions_usd_lag_3,engineered
estimated_revenue_increase_from_ai_trillions_usd_diff_lag_3,engineered
estimated_revenue_increase_from_ai_trillions_usd_ratio_lag_3,engineered
revenue_per_org_using_ai,engineered
market_efficiency_ratio,engineered
job_creation_ratio,engineered
net_job_impact,engineered
adoption_momentum,engineered
ai_software_revenue_in_billions_momentum_index,engineered
ai_software_revenue_in_billions_upper_band,engineered
ai_software_revenue_in_billions_lower_band,engineered
ai_software_revenue_in_billions_band_position,engineered
ai_software_revenue_in_billions_volatility,engineered
ai_software_revenue_in_billions_zscore,engineered
global_ai_market_value_in_billions_momentum_index,engineered
global_ai_market_value_in_billions_upper_band,engineered
global_ai_market_value_in_billions_lower_band,engineered
global_ai_market_value_in_billions_band_position,engineered
global_ai_market_value_in_billions_volatility,engineered
global_ai_market_value_in_billions_zscore,engineered
organizations_using_ai_momentum_index,engineered
organizations_using_ai_upper_band,engineered
organizations_using_ai_lower_band,engineered
organizations_using_ai_band_position,engineered
organizations_using_ai_volatility,engineered
organizations_using_ai_zscore,engineered
estimated_revenue_increase_from_ai_trillions_usd_momentum_index,engineered
estimated_revenue_increase_from_ai_trillions_usd_upper_band,engineered
estimated_revenue_increase_from_ai_trillions_usd_lower_band,engineered
estimated_revenue_increase_from_ai_trillions_usd_band_position,engineered
estimated_revenue_increase_from_ai_trillions_usd_volatility,engineered
estimated_revenue_increase_from_ai_trillions_usd_zscore,engineered
years_since_start,engineered
cycle_position,engineered
early_period,engineered
mid_period,engineered
late_period,engineered
year_sin,engineered
year_cos,engineered
investment_attractiveness,engineered
job_risk_level,engineered
market_acceleration,engineered
competition_intensity,engineered
